id_equipement,id_installation,installation,equipement,code_commune,commune,dep_code,departement,epci_code,epci_nom,type_equipement,categorie,proprietaire,type_proprietaire,type_gestionnaire,gestion_dsp_source,mode_gestion_calcule,surface_bassin_m2,longueur_m,largeur_m,profondeur_min_m,profondeur_max_m,nb_couloirs,type_utilisation,usage_scolaires,site_scolaire_explicit,particularite_installation,uai,qpv,qpv_flag,qpv_200m,qpv_200m_flag,longitude,latitude,activites
E007I026910035,I026910035,Base Urbaine de Loisirs de Saint Quentin,Bassin Thermo-ludique,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin ludique de natation,,Communauté d'Agglomérations de Saint Quentin,EPCI,Etablissement privé commercial,True,DSP,72.9,9.0,8.1,0.8,1.1,,"[""Individuel(s),famille(s)""]",0,0,"Complexe sportif, Piscine, Patinoire",,,0,,0,3.28562,49.83933,Baignade loisirs
E003I021680004,I021680004,Complexe Citélium,Grand bassin,2168,Château-Thierry,2,Aisne,200072031,CA de la Région de Château-Thierry,Bassin sportif de natation,structurant,CARCT,Etablissement privé commercial,Etablissement privé commercial,True,DSP,525.0,25.0,21.0,1.8,4.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.39109,49.0674,"Aquagym, Baignade loisirs, Natation course sportive, Water-Polo"
E003I026910012,I026910012,Piscine Jean Bouin,Petit bassin,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin ludique de natation,,,EPCI,EPCI,False,Régie publique,120.0,15.0,8.0,0.8,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.30916,49.8537,"Aquagym, Natation course sportive, Plongée subaquatique (Plongée libre)"
E006I026910035,I026910035,Base Urbaine de Loisirs de Saint Quentin,Bassin Aquagym,2691,Saint-Quentin,2,Aisne,200071892,CA du Saint-Quentinois,Bassin mixte de natation,structurant,Communauté d'Agglomérations de Saint Quentin,EPCI,Etablissement privé commercial,True,DSP,87.5,12.5,7.0,1.2,1.2,,"[""Individuel(s),famille(s)""]",0,0,"Complexe sportif, Piscine, Patinoire",,,0,,0,3.28562,49.83933,"Aquagym, Baignade loisirs"
E002I800210059,I800210059,Coliseum,Bassin de réception du toboggan,80021,Amiens,80,Somme,248000531,CA Amiens Métropole,Bassin ludique de natation,,,Commune,EPCI,False,Régie publique,20.0,,,1.3,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Complexe sportif, Piscine, Patinoire",,,0,,0,2.28886,49.89368,Baignade loisirs
E002I805700001,I805700001,Centre aquatique Alméo,Bassin ludique,80570,Moreuil,80,Somme,200070969,CC Avre Luce Noye,Bassin ludique de natation,,Régie de gestion d'Alméo,Etablissement Public,EPCI,False,Régie publique,170.0,,,0.8,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,2.49116,49.7673,"Aquagym, Baignade loisirs, Natation course sportive"
E006I595990002,I595990002,Tourcoing les Bains,Bassin Balnéo,59599,Tourcoing,59,Nord,200093201,Métropole Européenne de Lille,Bassin ludique de natation,,Ville de Tourcoing,Commune,Etablissement privé commercial,True,DSP,260.0,,,1.2,1.2,,"[""Individuel(s),famille(s)""]",0,0,Piscine,,,0,QN05983M,1,3.16043,50.72437,"Activités de forme et de santé, Aquagym, Baignade loisirs"
E006I601590027,I601590027,Plaine des sports Zac Mercieres,Petit bassin,60159,Compiègne,60,Oise,200067965,CA de la Région de Compiègne et de la Basse Automne,Bassin ludique de natation,,Ville de Compiègne,Commune,Commune,False,Régie publique,120.0,20.0,6.0,0.8,1.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Complexe sportif, Piscine, Patinoire",,,0,,0,2.78301,49.38909,Baignade loisirs
E006I621930039,I621930039,Complexe Icéo,Bassin de reception toboggan,62193,Calais,62,Pas-de-Calais,200090751,CA Grand Calais Terres et Mers,Bassin de réception de toboggan,,,EPCI,EPCI,False,Régie publique,30.0,6.0,5.0,1.1,1.1,,"[""Individuel(s),famille(s)""]",0,0,"Complexe sportif, Piscine, Patinoire",,,0,,0,1.89623,50.95616,Baignade loisirs
E006I624570001,I624570001,PARC DEPARTEMENTAL DE NATURE ET DE LOISIRS D'OLHAIN,Piscine 2,62356,Fresnicourt-le-Dolmen,62,Pas-de-Calais,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",Bassin mixte de natation,structurant,Conseil Départemental du Pas-de-Calais,Département,Etablissement Public,True,DSP,814.0,,,,,,"[""Individuel(s),famille(s),Autre - association(s) et groupes divers""]",0,0,"Base de plein air et/ou de loisirs, Piscine",,,0,,0,2.5768840313,50.4389794468,Baignade loisirs
