code_commune,commune,code_departement,departement,epci_code,epci_nom,population_2023,typo,zrr,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,licences_ffn_pour_1000hab,nb_qpv,pop_qpv,part_population_qpv,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_par_bassin
2001,Abbécourt,2,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,513,2.Urbain intermédiaire,NC,9,107,101,17.54385964912281,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2002,Achery,2,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,586,4.Rural non périurbain,NC,1,120,112,1.706484641638225,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2003,Acy,2,02 - Aisne,240200477,Communauté d'agglomération GrandSoissons Agglomération,1013,3.Rural périurbain,NC,13,207,186,12.83316880552813,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2004,Agnicourt-et-Séchelles,2,02 - Aisne,240200469,Communauté de communes du Pays de la Serre,188,4.Rural non périurbain,C,0,32,31,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2005,Aguilcourt,2,02 - Aisne,240200576,Communauté de communes de la Champagne Picarde,405,3.Rural périurbain,C,4,83,75,9.876543209876543,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2006,Aisonville-et-Bernoville,2,02 - Aisne,200071983,Communauté de communes Thiérache Sambre et Oise,257,4.Rural non périurbain,C,0,52,47,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2007,Aizelles,2,02 - Aisne,240200592,Communauté de communes du Chemin des Dames,119,3.Rural périurbain,C,0,17,17,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2008,Aizy-Jouy,2,02 - Aisne,240200501,Communauté de communes du Val de l'Aisne,308,3.Rural périurbain,NC,2,58,56,6.493506493506493,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2009,Alaincourt,2,02 - Aisne,200040426,Communauté de communes du Val de l'Oise,522,3.Rural périurbain,C,1,118,115,1.915708812260536,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2010,Allemant,2,02 - Aisne,240200501,Communauté de communes du Val de l'Aisne,166,3.Rural périurbain,NC,0,27,22,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2011,Ambleny,2,02 - Aisne,200071991,Communauté de communes Retz-en-Valois,1203,3.Rural périurbain,NC,11,227,201,9.14380714879468,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2012,Ambrief,2,02 - Aisne,240200519,Communauté de communes du Canton d'Oulchy-le-Château,81,3.Rural périurbain,C,0,16,14,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2013,Amifontaine,2,02 - Aisne,240200576,Communauté de communes de la Champagne Picarde,386,3.Rural périurbain,C,1,78,75,2.590673575129534,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2014,Amigny-Rouy,2,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,710,4.Rural non périurbain,NC,9,185,174,12.67605633802817,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2015,Ancienville,2,02 - Aisne,200071991,Communauté de communes Retz-en-Valois,78,3.Rural périurbain,NC,0,25,25,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2016,Andelain,2,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,211,4.Rural non périurbain,NC,4,62,57,18.95734597156398,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2017,Anguilcourt-le-Sart,2,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,281,4.Rural non périurbain,NC,2,72,68,7.117437722419929,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2018,Anizy-le-Grand,2,02 - Aisne,200071769,Communauté de communes Picardie des Châteaux,2510,3.Rural périurbain,C,6,611,443,2.390438247011952,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2019,Annois,2,02 - Aisne,200071892,Communauté d'agglomération du Saint-Quentinois,352,4.Rural non périurbain,NC,1,55,53,2.840909090909091,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2020,Any-Martin-Rieux,2,02 - Aisne,240200600,Communauté de communes des Trois Rivières,455,4.Rural non périurbain,C,1,57,54,2.197802197802198,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2021,Archon,2,02 - Aisne,240200634,Communauté de communes des Portes de la Thiérache,77,4.Rural non périurbain,C,0,8,8,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2022,Arcy-Sainte-Restitue,2,02 - Aisne,240200519,Communauté de communes du Canton d'Oulchy-le-Château,398,4.Rural non périurbain,C,0,72,66,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2023,Armentières-sur-Ourcq,2,02 - Aisne,200072031,Communauté d'agglomération de la Région de Château-Thierry,98,4.Rural non périurbain,C,2,29,29,20.40816326530612,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2024,Arrancy,2,02 - Aisne,200043495,Communauté d'agglomération du Pays de Laon,45,3.Rural périurbain,NC,0,4,4,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2025,Artemps,2,02 - Aisne,200071892,Communauté d'agglomération du Saint-Quentinois,363,3.Rural périurbain,NC,2,81,73,5.509641873278237,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
2027,Assis-sur-Serre,2,02 - Aisne,240200469,Communauté de communes du Pays de la Serre,203,3.Rural périurbain,C,0,31,30,0.0,0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,0.0,0.0,
