epci_code,epci_nom,code_departement,departement,population_2023_communes,communes_total,communes_avec_licences_ffn,communes_avec_bassin,communes_avec_licences_sans_bassin,nb_qpv,pop_qpv,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,part_autre_hors_dsp_bassins,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_pour_1000hab,licences_ffn_par_bassin,part_population_qpv
200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,2,02 - Aisne,54316,48,39,2,37,3,4374,321,10557,8909,5,2,1,0.2,2,0.4,2,0.4,4,0.8,0,0.0,0,0,1142.0,9.205390676780322,5.909860814492967,64.2,0.08052875764047426
240200477,Communauté d'agglomération GrandSoissons Agglomération,2,02 - Aisne,52447,27,16,0,16,3,9123,175,11307,8571,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.3367018132591,,0.1739470322420729
200072031,Communauté d'agglomération de la Région de Château-Thierry,2,02 - Aisne,54077,87,55,2,54,2,3241,438,9598,8383,4,2,3,0.75,0,0.0,1,0.25,3,0.75,0,0.0,0,0,727.4,7.396860032916027,8.09956173604305,109.5,0.05993305841670211
200043495,Communauté d'agglomération du Pays de Laon,2,02 - Aisne,41771,38,31,2,29,2,5521,270,8490,6666,5,2,3,0.6,2,0.4,0,0.0,4,0.8,0,0.0,0,0,1099.0,11.97002705226114,6.463814608221014,54.0,0.1321730387110675
200071892,Communauté d'agglomération du Saint-Quentinois,2,02 - Aisne,79327,39,27,2,25,4,10904,397,14612,11604,10,3,5,0.5,5,0.5,0,0.0,5,0.5,0,0.0,0,0,1680.4,12.60604838201369,5.004601207659435,39.7,0.1374563515574773
200071769,Communauté de communes Picardie des Châteaux,2,02 - Aisne,16677,36,21,0,21,0,0,56,3166,2627,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.357918090783714,,0.0
200071991,Communauté de communes Retz-en-Valois,2,02 - Aisne,28939,54,34,2,32,1,1068,136,6078,5007,5,2,0,0.0,2,0.4,3,0.6,3,0.6,0,0.0,0,0,898.5,17.27772210511766,4.699540412592004,27.2,0.03690521441653132
200071983,Communauté de communes Thiérache Sambre et Oise,2,02 - Aisne,16396,36,5,1,5,0,0,13,2957,2392,1,1,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0,280.0,6.099048548426445,0.7928763112954379,13.0,0.0
240200576,Communauté de communes de la Champagne Picarde,2,02 - Aisne,20858,46,21,1,21,0,0,44,4627,3464,2,1,0,0.0,1,0.5,1,0.5,2,1.0,0,0.0,0,0,399.0,9.588647041902387,2.109502349218525,22.0,0.0
240200444,Communauté de communes de la Thiérache du Centre,2,02 - Aisne,25752,68,19,0,19,0,0,50,4395,3364,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.941596769182976,,0.0
240200634,Communauté de communes des Portes de la Thiérache,2,02 - Aisne,6651,30,4,0,4,0,0,4,1015,813,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,0.6014133213050669,,0.0
240200600,Communauté de communes des Trois Rivières,2,02 - Aisne,20540,26,17,1,16,2,2619,125,3170,2626,2,1,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0,600.0,9.737098344693282,6.085686465433301,62.5,0.1275073028237585
240200519,Communauté de communes du Canton d'Oulchy-le-Château,2,02 - Aisne,5536,26,12,0,12,0,0,22,1064,973,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.973988439306358,,0.0
240200584,Communauté de communes du Canton de Charly-sur-Marne,2,02 - Aisne,15339,21,11,0,11,0,0,56,2528,2253,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.650824695221331,,0.0
240200592,Communauté de communes du Chemin des Dames,2,02 - Aisne,5501,30,3,0,3,0,0,4,1022,861,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,0.7271405199054717,,0.0
240200469,Communauté de communes du Pays de la Serre,2,02 - Aisne,14372,42,20,0,20,0,0,57,2639,2292,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.96604508767047,,0.0
240200493,Communauté de communes du Pays du Vermandois,2,02 - Aisne,30859,54,28,1,28,0,0,70,5527,4568,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,481.5,6.481091415794419,2.268381995528047,35.0,0.0
240200501,Communauté de communes du Val de l'Aisne,2,02 - Aisne,20284,57,16,0,16,0,0,37,3929,3100,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.824097811082627,,0.0
200040426,Communauté de communes du Val de l'Oise,2,02 - Aisne,15838,32,17,0,17,0,0,38,3611,2977,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.399292840005051,,0.0
200040947,Communauté d'agglomération Cœur de Flandre,59,59 - Nord,102562,50,33,1,32,1,1430,99,26360,18808,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,437.5,1.950039975819504,0.9652697880306547,49.5,0.01394278582710946
200044618,Communauté d'agglomération Douaisis Agglo,59,59 - Nord,148901,35,34,4,30,9,21680,281,26405,20714,10,6,1,0.1,9,0.9,0,0.0,9,0.9,0,0.0,2,3,2676.5,6.715871619398124,1.887159925050873,28.1,0.1456000967085513
200043396,Communauté d'agglomération Maubeuge Val de Sambre,59,59 - Nord,122909,43,30,5,25,11,29239,332,23277,16434,9,5,0,0.0,9,1.0,0,0.0,8,0.8888888888888888,0,0.0,2,2,2099.5,7.322490623143952,2.70118542987088,36.88888888888889,0.2378914481445622
245901160,Communauté d'agglomération Valenciennes Métropole,59,59 - Nord,191885,35,33,2,31,14,40194,480,39037,27258,4,2,0,0.0,4,1.0,0,0.0,2,0.5,0,0.0,0,1,989.0,2.084581911040467,2.50149829324856,120.0,0.2094692133309013
200068500,Communauté d'agglomération de Cambrai,59,59 - Nord,80469,55,34,1,33,4,5095,135,16408,11739,6,2,0,0.0,6,1.0,0,0.0,5,0.8333333333333334,0,0.0,0,0,1675.0,7.456287514446557,1.677664690750475,22.5,0.06331630814350868
200042190,Communauté d'agglomération de la Porte du Hainaut,59,59 - Nord,158351,47,44,4,40,10,36998,747,29696,22458,9,4,6,0.6666666666666666,3,0.3333333333333333,0,0.0,9,1.0,0,0.0,2,6,2418.9,5.683576358848381,4.717368377844156,83.0,0.2336455090274138
200030633,Communauté d'agglomération du Caudrésis et du Catésis,59,59 - Nord,63265,46,25,2,23,1,2825,99,10864,8342,8,2,4,0.5,0,0.0,4,0.5,4,0.5,0,0.0,0,0,969.0,12.64522247688295,1.564846281514265,12.375,0.04465344187149293
245901152,Communauté de communes Cœur d'Ostrevent,59,59 - Nord,70247,20,19,1,18,8,12875,191,13626,9607,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,1,250.0,1.423548336583769,2.718977322874998,191.0,0.1832818483351602
200043263,Communauté de communes Cœur de l'Avesnois,59,59 - Nord,28870,43,21,1,20,0,0,58,4836,3597,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,387.5,6.927606511950121,2.009005888465535,29.0,0.0
245900758,Communauté de communes Flandre Lys,59,59 - Nord,40142,8,7,0,7,0,0,135,11141,7715,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.363061132977928,,0.0
200041960,Communauté de communes Pévèle-Carembault,59,59 - Nord,98918,38,32,3,29,1,2132,166,27643,22183,6,3,4,0.6666666666666666,1,0.1666666666666667,1,0.1666666666666667,4,0.6666666666666666,0,0.0,0,0,689.5,6.065630117875412,1.678157665945531,27.66666666666667,0.0215532056855173
