id_equipement,id_installation,installation,equipement,code_commune,commune,epci_code,epci_nom,dep_code,departement,typologie_commune_source,particularite_installation,particularite_installation_brute,famille_equipement,type_equipement,code_type_equipement,rnb_id,type_utilisation,longueur_m,largeur_m,surface_bassin_m2,profondeur_min_m,profondeur_max_m,nb_couloirs,longitude,latitude,activites
E004I590090058,I590090058,CENTRE NAUTIQUE BABYLONE,DOJO Jeff Martin,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Salle de combat,Dojo / Salle d'arts martiaux,1801,G6D2HNB8SBFD,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,,,,,3.14376,50.65204,Judo / Jujitsu / Taïso
E004I591220022,I591220022,Stade Nautique Liberté,petit bassin,59122,Cambrai,200068500,CA de Cambrai,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,64XH6A4NK3FE,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",25.0,6.0,150.0,1.0,1.3,,3.2267,50.1723,Baignade loisirs
E004I591360007,I591360007,Duo Le Cateau,Pentagliss,59136,Le Cateau-Cambrésis,200030633,CA du Caudrésis et du Catésis,59,Nord,Petites villes,Piscine,Piscine,Bassin de natation,Bassin de réception de toboggan,106,,,,,0.0,,,,3.531986,50.095265,Baignade loisirs
E004I591830058,I591830058,PISCINE PAUL ASSEMAN,Dojo,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,Grands centres urbains,Piscine,Piscine,Salle de combat,Dojo / Salle d'arts martiaux,1801,1QRWDV52174Z,"Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers",,,,,,,2.38574,51.04771,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...
E004I592730013,I592730013,complexe Maurice Baude et Piscine Municipale,Piste d'athlétisme,59273,Gravelines,245900428,CU de Dunkerque,59,Nord,Petites villes,Piscine,Piscine,Equipement d'athlétisme,Piste d'athlétisme isolée,1004,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,,,,,2.13884,50.98631,Course sur piste
E004I595270004,I595270004,"Complexe Piscine, volley",PETIT BASSIN,59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",12.5,12.5,156.3,0.3,1.3,,3.05097,50.65892,Baignade loisirs
E004I602230013,I602230013,CENTRE AQUATIQUE DE LA PLAINE D'ESTREES,Lagune de jeux,60223,Estrées-Saint-Denis,246000897,CC de la Plaine d'Estrées,60,Oise,Bourgs ruraux,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,3Q5B4JEKKNHT,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",9.0,3.0,9.0,1.0,1.0,,2.64326,49.42945,Baignade loisirs
E004I602820009,I602820009,PISCINE AQUALIS,Bassin ludique extérieur,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,Ceintures urbaines,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s)",,,150.0,0.0,1.2,,2.43446,49.18919,Baignade loisirs
E004I606890002,I606890002,CENTRE DES SPORTS RIMBERLIEU,Bassin de 33m,60689,Villers-sur-Coudun,246000855,CC du Pays des Sources,60,Oise,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Bassin de natation,Bassin sportif de natation,102,,,33.0,12.0,396.0,,,,2.81426,49.488772,Baignade loisirs
E003I590090057,I590090057,PISCINE DU TRIOLO,SALLE DE MUSCULATION,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,ENSYV8BKBK35,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations",,,,,,,3.147454,50.61376,Musculation
E003I591360007,I591360007,Duo Le Cateau,Bassin ludique,59136,Le Cateau-Cambrésis,200030633,CA du Caudrésis et du Catésis,59,Nord,Petites villes,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,,,,0.0,,,,3.531953,50.09544,Baignade loisirs
E003I592490005,I592490005,PISCINE MUNICIPALE,PETIT BASSIN,59249,Fourmies,200043404,CC du Sud Avesnois,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",15.0,12.0,300.0,0.8,1.2,,4.05141,50.01923,Baignade loisirs
E003I593400009,I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,SALLE DEMARTINICOURT,59340,Leffrinckoucke,245900428,CU de Dunkerque,59,Nord,Grands centres urbains,"Piscine,Complexe sportif",Piscine | Complexe sportif,Salle multisports,Salle multisports (gymnase),1901,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,,,,,2.43986,51.0545,Basket-Ball | Handball / Mini hand / Handball de plage | Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
E003I593500093,I593500093,PISCINE MUNICIPALE/59355/LOMME,Petit bassin,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,XNGFA39SFAZB,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",15.0,8.0,120.0,0.3,1.3,,3.01476,50.64371,Aquagym | Baignade loisirs
E003I594100005,I594100005,PISCINE MUNICIPALE,Bassin de reception Toboggan,59410,Mons-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin de réception de toboggan,106,6JTSF3Z86QXT,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",6.0,4.0,24.0,1.1,1.1,,3.106604,50.639779,Baignade loisirs
E003I595070005,I595070005,PISCINE MUNICIPALE,PETIT BASSIN,59507,Ronchin,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,M5EQ9AH5QFTW,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",15.0,12.0,187.0,0.8,1.2,,3.09196,50.60282,Aquagym | Baignade loisirs
E003I601040007,I601040007,CENTRE NAUTIQUE PHILIPPE LOISEL - KALAMOS,Bassin ludique,60104,Breteuil,200068005,CC de l'Oise Picarde,60,Oise,Bourgs ruraux,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,"Individuel(s),famille(s)",25.0,,204.0,0.8,1.2,,2.30057,49.6355,Baignade loisirs
E003I601390001,I601390001,PISCINE AQUATHELLE,Terrain de Beach-volley,60139,Chambly,200067973,CC Thelloise,60,Oise,Centres urbains intermédiaires,Piscine,Piscine,Terrain extérieur de petits jeux collectifs,Terrain de beach-volley,2902,,"Individuel(s),famille(s)",,,,,,,2.25441,49.17192,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
E003I601590027,I601590027,Plaine des sports Zac Mercieres,Terrains de football Merciére,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,Centres urbains intermédiaires,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Terrain de grands jeux,Terrain de football,2802,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",,,,,,,2.78243,49.38783,Football / Football en salle (Futsal)
E003I602230013,I602230013,CENTRE AQUATIQUE DE LA PLAINE D'ESTREES,Bassin animation,60223,Estrées-Saint-Denis,246000897,CC de la Plaine d'Estrées,60,Oise,Bourgs ruraux,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,3Q5B4JEKKNHT,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",13.0,6.0,36.0,1.2,1.4,,2.64326,49.42945,Aquagym | Baignade loisirs
E003I602820009,I602820009,PISCINE AQUALIS,Bassin sportif extérieur,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,Ceintures urbaines,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",25.0,8.0,200.0,1.2,1.8,,2.43446,49.18919,Baignade loisirs | Natation course sportive
E003I620410045,I620410045,PISCINE ELIE DESBIN,Salle de musculation,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,FVQ6SY4SMJQ1,"Clubs sportifs,comités,ligues,fédérations",,,,,,,2.79391,50.28006,Musculation
E003I021730004,I021730004,Espace Aquatique Oasis,Bassin toboggan,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin de réception de toboggan,106,SXSJK8XT3WZB,"Individuel(s),famille(s)",6.0,4.0,24.0,0.7,1.1,,3.21247,49.61923,Baignade loisirs
E003I023340006,I023340006,Piscine,Terrain multisports,02334,Fresnoy-le-Grand,240200493,CC du Pays du Vermandois,02,Aisne,Bourgs ruraux,Piscine,Piscine,Multisports/City-stades,Multisports/City-stades,1701,,"Individuel(s),famille(s)",,,,,,,3.43639,49.96571,Basket-Ball | Football / Football en salle (Futsal) | Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley
E003I023400001,I023400001,Piscine,Petite salle de musculation,02340,Gauchy,200071892,CA du Saint-Quentinois,02,Aisne,Ceintures urbaines,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,BB2C4RPQF8KQ,"Individuel(s),famille(s)",,,,,,,3.2914,49.83087,Musculation
E003I023810011,I023810011,"Espace aquatique ""L'Ile Verte""",Bowling,02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,Petites villes,"Base de plein air et/ou de loisirs,Piscine",Base de plein air et/ou de loisirs | Piscine,Bowling,Bowling,301,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers",,,,,,,4.09963,49.92398,Bowling
E003I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Aire de sports de glace ludique N°2,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,Centres urbains intermédiaires,"Piscine,Patinoire",Piscine | Patinoire,Aire de sports de glaces,Aire de sports de glace ludique,1503,9QB4BVH3SAVD,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",,,,,,,3.65216,49.56711,Ballet sur glace / Danse sur glace / Patinage artistique
E003I026910035,I026910035,Base Urbaine de Loisirs de Saint Quentin,Salle de musculation,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,Centres urbains intermédiaires,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,NNH171HDB4CR,"Individuel(s),famille(s)",,,,,,,3.28562,49.83933,Musculation
E003I624570001,I624570001,PARC DEPARTEMENTAL DE NATURE ET DE LOISIRS D'OLHAIN,Passion Aventure,62356,Fresnicourt-le-Dolmen,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,Rural à habitat dispersé,"Base de plein air et/ou de loisirs,Piscine",Base de plein air et/ou de loisirs | Piscine,Divers équipements Sports de nature,Parcours Acrobatique en Hauteur/Site d'accrobranche,3003,,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",,,,,,,2.580508,50.438447,Escalade dans les arbres
