uai,school_name,school_level,code_commune,commune,epci_code,epci_nom,code_departement,departement,students_total,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
0021934S,ECOLE MATERNELLE PUBLIQUE -,École,,AULNOIS-SOUS-LAON,,,02,AISNE,45,,,,,,,0,0,0,0
0020254R,ECOLE MATERNELLE PUBLIQUE CHARDONNIER-LEJEUNE,École,,CHAUNY,,,02,AISNE,54,,,,,,,0,0,0,0
0021177U,ECOLE MATERNELLE PUBLIQUE -,École,,SISSONNE,,,02,AISNE,68,,,,,,,0,0,0,0
0021327G,ECOLE ELEMENTAIRE PUBLIQUE CHARLES-ALBERT DEMOUSTIER,École,,VILLERS-COTTERETS,,,02,AISNE,91,,,,,,,0,0,0,0
0020301S,Ecole primaire,École,02001,Abbécourt,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.59587,3.17954,02:02488,CHAUNY - PONT CANAL,,3.319,0,0,0,0
0020303U,Ecole primaire,École,02002,Achery,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,68,49.692066,3.39082,02:00629,ACHERY - ABRI,bus,0.048,1,1,16,16
0021584L,Ecole primaire,École,02014,Amigny-Rouy,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,71,49.608705,3.303561,02:00553,AMIGNY ROUY - ABRI,bus,0.124,3,4,74,99
0020325T,Ecole primaire,École,02017,Anguilcourt-le-Sart,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,38,49.689196,3.43265,02:02312,ANGUILCOURT L. - MAIRIE ECOLE ABR,bus,0.121,1,1,3,3
0021591U,Ecole primaire Raymond Tavernier,École,02041,Autreville,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,67,49.595617,3.22898,02:02487,SINCENY - ABRI ST LAZARE,bus,0.185,4,4,90,90
0020388L,Ecole maternelle Faidherbe,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,71,49.658097,3.34579,02:04013,BEAUTOR - CIMETIERE,bus,0.553,0,2,0,33
0020389M,Ecole maternelle Saint-Exupéry,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,16,49.6513,3.343369,02:04013,BEAUTOR - CIMETIERE,,1.325,0,0,0,0
0020387K,Ecole élémentaire Camille Desmoulins,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,149,49.658845,3.344799,02:04013,BEAUTOR - CIMETIERE,bus,0.511,0,2,0,33
0020101Z,Ecole maternelle,École,02074,Bertaucourt-Epourdon,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,21,49.627074,3.388391,02:00551,ST GOBAIN - LE PIED DU MONT,,3.305,0,0,0,0
0021988A,Ecole primaire,École,02086,Bichancourt,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,77,49.589394,3.212376,02:02487,SINCENY - ABRI ST LAZARE,,1.486,0,0,0,0
0020111K,Ecole primaire,École,02081,Béthancourt-en-Vaux,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.626934,3.14548,STOPAREA:60:0981,BEAUGIES-SOUS-BOIS - Chemin de Berlancourt,,3.31,0,0,0,0
0020186S,Ecole élémentaire,École,02139,Caillouël-Crépigny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,45,49.620455,3.12944,STOPAREA:60:0982,BEAUGIES-SOUS-BOIS - Grande rue,,2.738,0,0,0,0
0020194A,Ecole primaire,École,02145,Caumont,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,82,49.633015,3.17365,02:02491,VILLEQUIER A. - CIMETIERE,,3.039,0,0,0,0
0020467X,Collège Lacordaire,Collège,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,148,49.657637,3.38503,02:00314,LA FERE - CARREFOUR DE LAON,bus,0.352,1,3,16,86
0021602F,Ecole primaire privée Lacordaire,École,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,145,49.657471,3.38558,02:00314,LA FERE - CARREFOUR DE LAON,bus,0.391,1,2,16,34
0021651J,Ecole élémentaire Maurice Prat,École,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,154,49.653438,3.37807,02:00316,LA FERE - GARE SNCF,bus | rail,0.78,0,4,0,144
0020015F,Collège Jacques Cartier,Collège,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,448,49.623469,3.22634,02:00614,CHAUNY - HOSPITAL,bus,0.616,0,3,0,40
0020469Z,Collège Saint-Charles,Collège,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,235,49.614461,3.21252,02:00560,CHAUNY - PLACE BOUZIER,bus | rail,0.294,2,6,49,185
