id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
I021730004,Espace Aquatique Oasis,02173,Chauny,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,3,2,49.61923,3.21247,02:00560,CHAUNY - PLACE BOUZIER,bus,0.28,3,3,68,68
I020590004,Piscine Lucien Lahaye,02059,Beautor,200071785,CA Chauny-Tergnier-La Fère,02,Aisne,2,2,49.64394,3.34366,02:04013,BEAUTOR - CIMETIERE,,2.119,0,0,0,0
I021680004,Complexe Citélium,02168,Château-Thierry,200072031,CA de la Région de Château-Thierry,02,Aisne,3,3,49.067493,3.390997,02:00950,CHATEAU T. - HOT. CAMPANILE,bus,0.781,0,2,0,12
I022090001,Piscine Municipale (type entérée),02209,Condé-en-Brie,200072031,CA de la Région de Château-Thierry,02,Aisne,1,0,49.00427,3.55535,02:00256,CONDE EN B. - ECOLE PRIMAIRE,bus,0.06,5,6,26,30
I020370001,Complexe sportif,02037,Aulnois-sous-Laon,200043495,CA du Pays de Laon,02,Aisne,2,1,49.60675,3.61376,02:00487,AULNOIS /S L. - ENTREPOT,bus,0.309,1,2,34,68
I024080034,Le dôme - Centre aquatique & patinoire,02408,Laon,200043495,CA du Pays de Laon,02,Aisne,3,3,49.566957,3.65195,02:04915,LAON - 71 AV.  GENERAL DE GAULLE,bus,0.682,0,4,0,77
I026910035,Base Urbaine de Loisirs de Saint Quentin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,5,0,49.83933,3.28562,02:00388,ST QUENTIN - BLD V. HUGO,bus | rail,0.282,1,8,7,398
I023400001,Piscine,02340,Gauchy,200071892,CA du Saint-Quentinois,02,Aisne,2,2,49.83087,3.2914,StopArea:OCE87296004,Saint-Quentin,,1.093,0,0,0,0
I026910012,Piscine Jean Bouin,02691,Saint-Quentin,200071892,CA du Saint-Quentinois,02,Aisne,3,3,49.853537,3.309063,02:04205,ST QUENTIN - LYCEE JEAN BOUIN,bus,0.282,3,9,24,70
I020710003,"Camping ""La Croix du vieux Pont",02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,3,1,49.405017,3.129333,STOPAREA:02:0024,BERNY-RIVIÈRE - Mairie,bus,0.996,0,1,0,22
I028100025,Piscine Intercommunale de Villers-Cotterêts,02810,Villers-Cotterêts,200071991,CC Retz-en-Valois,02,Aisne,2,2,49.260354,3.087651,02:00279,VILLERS C. - GRAND BOSQUET,bus,0.727,0,2,0,43
I023610002,Centre aquatique AQUOISIA,02361,Guise,200071983,CC Thiérache Sambre et Oise,02,Aisne,1,1,49.906217,3.647096,02:00378,GUISE - LYCEE FRANCOISE DOLTO,bus,0.664,0,2,0,50
I027200001,Espace sportif - Centre aquatique Rêvéo,02720,Sissonne,240200576,CC de la Champagne Picarde,02,Aisne,2,2,49.566409,3.898436,02:02364,SISSONNE - COLLEGE,bus,0.049,1,4,6,51
I023810011,"Espace aquatique ""L'Ile Verte""",02381,Hirson,240200600,CC des Trois Rivières,02,Aisne,2,2,49.92398,4.09963,02:00107,HIRSON - COLLEGE G.COBAST,bus,0.396,1,2,10,12
I023340006,Piscine,02334,Fresnoy-le-Grand,240200493,CC du Pays du Vermandois,02,Aisne,2,2,49.96572,3.436115,StopArea:OCE87296293,Fresnoy-le-Grand,,1.78,0,0,0,0
I591780041,PISCINE BEAU SOLEIL (TOURNESOL),59178,Douai,200044618,CA Douaisis Agglo,59,Nord,1,1,50.37867,3.07069,STOPAREA:59:0708,DOUAI - Lycée E. Lemonnier,bus,0.087,3,5,44,72
I591780040,PISCINE DES GLACIS,59178,Douai,200044618,CA Douaisis Agglo,59,Nord,3,3,50.36233,3.08011,STOPAREA:62:10168,DOUAI - Maison des Géants,bus,0.128,2,4,26,117
I596540006,PISCINE MUNICIPALE,59654,Waziers,200044618,CA Douaisis Agglo,59,Nord,2,2,50.38553,3.10711,STOPAREA:59:2521,WAZIERS - Langevin,bus,0.424,1,4,65,153
I590280009,PISCINE MUNICIPALE,59028,Auby,200044618,CA Douaisis Agglo,59,Nord,2,2,50.41721,3.05825,STOPAREA:59:0100,AUBY - Bon Air,bus,0.6,0,4,0,52
I595690010,PISCINE TOURNESOL,59569,Sin-le-Noble,200044618,CA Douaisis Agglo,59,Nord,1,1,50.36169,3.11689,StopArea:OCE87345405,Sin-le-Noble,bus | rail,0.636,0,1,0,28
I595690016,Sourcéane,59569,Sin-le-Noble,200044618,CA Douaisis Agglo,59,Nord,1,0,50.349606,3.100263,STOPAREA:62:9797,SIN-LE-NOBLE - Lycée Arhtur Rimbaud,bus,0.741,0,2,0,72
I590330010,Complexe Aquatique l'Aiguade,59033,Aulnoye-Aymeries,200043396,CA Maubeuge Val de Sambre,59,Nord,4,3,50.202902,3.835054,STOPAREA:59:0120,AULNOYE-AYMERIES - Aiguade,bus | rail,0.027,6,12,63,266
I593240009,PISCINE COUBERTIN,59324,Jeumont,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,50.29762,4.10038,STOPAREA:59:1231,JEUMONT - Place de la République,bus | rail,0.233,1,3,6,40
I594950004,PISCINE INTERCOMMUNALE,59495,Recquignies,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,50.287516,4.043162,StopArea:OCE87295022,Recquignies,bus | rail,0.377,1,1,2,2
I593920011,PISCINE TOURNESOL DE L'EPINETTE,59392,Maubeuge,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,50.288945,3.96401,STOPAREA:59:1522,MAUBEUGE - Progrès,bus,0.75,0,1,0,18
