epci_code,epci_nom,code_departement,departement,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
200068047,Communauté d'agglomération Creil Sud Oise,60,60 - Oise,76,76,19600,19600,9672,9928,1.0,1.0,1.940214,5.858687,2.972187,1.937898,0.992041,0.99898,1,1,1,19600.0,19600.0,19600.0
245901160,Communauté d'agglomération Valenciennes Métropole,59,59 - Nord,128,128,36988,36988,16815,20173,1.0,1.0,3.550278,7.409606,4.931476,3.083225,0.783903,0.878771,4,2,2,9247.0,18494.0,18494.0
200040947,Communauté d'agglomération Cœur de Flandre,59,59 - Nord,80,80,16827,16827,7917,8910,1.0,1.0,6.091656,9.228293,7.897784,5.860911,0.466928,0.899804,2,1,2,8413.5,16827.0,8413.5
245901152,Communauté de communes Cœur d'Ostrevent,59,59 - Nord,53,53,12565,12565,5892,6673,1.0,1.0,4.39436,8.352182,6.803123,3.96921,0.614405,1.0,1,1,1,12565.0,12565.0,12565.0
246200299,Communauté d'agglomération d'Hénin-Carvin,62,62 - Pas-de-Calais,85,85,24735,24735,12606,12129,1.0,1.0,2.864765,7.030528,4.300239,2.609403,0.883808,1.0,3,2,3,8245.0,12367.5,8245.0
248000531,Communauté d'agglomération Amiens Métropole,80,80 - Somme,127,115,34597,34597,12232,22365,1.0,1.0,1.592741,4.734086,2.368683,1.729528,0.979969,0.99737,11,3,9,3145.181818,11532.333333,3844.111111
246200364,Communauté d'agglomération de Lens - Liévin,62,62 - Pas-de-Calais,181,181,45855,45855,22970,22885,1.0,1.0,2.647112,6.331376,3.727784,2.618688,0.8608,0.992498,11,4,9,4168.636364,11463.75,5095.0
200090751,Communauté d'agglomération Grand Calais Terres et Mers,62,62 - Pas-de-Calais,70,70,19706,19706,8218,11488,1.0,1.0,1.798684,5.276637,2.867737,1.774254,0.961738,0.995788,8,2,4,2463.25,9853.0,4926.5
200093201,Métropole Européenne de Lille,59,59 - Nord,669,667,207409,207041,95644,111765,0.998226,0.998226,1.920507,5.364567,2.761637,1.853641,0.931487,0.976734,43,22,39,4823.465116,9427.681818,5318.179487
200067965,Communauté d'agglomération de la Région de Compiègne et de la Basse Automne,60,60 - Oise,66,63,17443,17443,6214,11229,1.0,1.0,2.439051,5.199986,3.285802,2.454455,0.89996,0.975234,4,2,4,4360.75,8721.5,4360.75
246000764,Communauté de communes de l'Aire Cantilienne,60,60 - Oise,33,31,8165,8165,3439,4726,1.0,1.0,5.109773,11.378572,7.488259,5.357885,0.745254,0.771586,4,1,2,2041.25,8165.0,4082.5
200040954,Communauté de communes des Hauts de Flandre,59,59 - Nord,53,53,8001,8001,4592,3409,1.0,1.0,7.555112,10.958548,9.734772,7.039419,0.330959,0.80215,2,1,2,4000.5,8001.0,4000.5
200068500,Communauté d'agglomération de Cambrai,59,59 - Nord,72,72,15047,15047,6016,9031,1.0,1.0,2.582956,5.03479,3.591963,2.489046,0.817638,0.958729,6,2,5,2507.833333,7523.5,3009.4
200033579,Communauté urbaine d'Arras,62,62 - Pas-de-Calais,86,86,22359,22359,8422,13937,1.0,1.0,1.883617,5.409187,2.724435,1.841553,0.922984,1.0,5,3,5,4471.8,7453.0,4471.8
200067999,Communauté d'agglomération du Beauvaisis,60,60 - Oise,100,96,22024,22024,8153,13871,1.0,1.0,2.122003,5.5108,3.164763,2.056972,0.887214,0.947149,9,3,9,2447.111111,7341.333333,2447.111111
200070993,Communauté d'agglomération de la Baie de Somme,80,80 - Somme,42,39,7239,7239,2824,4415,1.0,1.0,3.54165,7.586983,4.769922,4.662103,0.787125,0.818345,4,1,2,1809.75,7239.0,3619.5
200067973,Communauté de communes Thelloise,60,60 - Oise,43,43,7234,7234,5156,2078,1.0,1.0,7.18058,12.233969,9.559995,6.844486,0.223804,0.567874,2,1,1,3617.0,7234.0,7234.0
246000582,Communauté de communes des Sablons,60,60 - Oise,37,36,7055,7055,3671,3384,1.0,1.0,2.663417,5.859304,3.583755,2.735923,0.860666,0.955634,2,1,2,3527.5,7055.0,3527.5
200066975,Communauté de communes Senlis Sud Oise,60,60 - Oise,22,20,6732,6732,2259,4473,1.0,1.0,7.015712,12.26544,9.041861,6.759343,0.029412,0.958556,1,1,0,6732.0,6732.0,0.0
200042190,Communauté d'agglomération de la Porte du Hainaut,59,59 - Nord,113,113,26613,26613,13470,13143,1.0,1.0,2.768415,6.014636,3.807887,2.633788,0.767482,1.0,9,4,9,2957.0,6653.25,2957.0
246200729,Communauté d'agglomération du Boulonnais,62,62 - Pas-de-Calais,85,85,19846,19846,8635,11211,1.0,1.0,2.055975,5.116065,3.070948,1.977661,0.94291,0.985589,7,3,5,2835.142857,6615.333333,3969.2
246000756,Communauté de communes du Pays Noyonnais,60,60 - Oise,46,45,5970,5970,2705,3265,1.0,1.0,2.498456,5.126191,3.100741,2.649252,0.847069,0.967839,2,1,2,2985.0,5970.0,2985.0
200041960,Communauté de communes Pévèle-Carembault,59,59 - Nord,60,60,17605,17605,7969,9636,1.0,1.0,4.319113,10.485522,5.872018,4.272787,0.603124,0.781767,6,3,4,2934.166667,5868.333333,4401.25
200071892,Communauté d'agglomération du Saint-Quentinois,02,02 - Aisne,56,54,16466,16466,5982,10484,1.0,1.0,1.935912,5.296445,2.813373,1.945252,0.929673,0.957124,10,3,5,1646.6,5488.666667,3293.2
246000921,Communauté de communes des Pays d'Oise et d'Halatte,60,60 - Oise,29,29,5324,5324,3129,2195,1.0,1.0,2.534367,6.957733,4.001796,2.354542,0.812735,0.97145,1,1,1,5324.0,5324.0,5324.0
200072460,"Communauté d'agglomération de Béthune-Bruay,Artois-Lys Romane",62,62 - Pas-de-Calais,229,229,45924,45924,23230,22694,1.0,1.0,2.627019,6.241895,3.72785,2.577294,0.829958,0.968927,16,9,11,2870.25,5102.666667,4174.909091
200030633,Communauté d'agglomération du Caudrésis et du Catésis,59,59 - Nord,57,57,9518,9518,5293,4225,1.0,1.0,4.075951,8.081298,5.525603,3.971856,0.61431,0.890838,8,2,4,1189.75,4759.0,2379.5
200069037,Communauté d'agglomération du Pays de Saint-Omer,62,62 - Pas-de-Calais,81,81,18840,18840,7738,11102,1.0,1.0,3.150998,5.956351,4.026914,2.769471,0.773461,0.895382,7,4,7,2691.428571,4710.0,2691.428571
200072478,Communauté de communes Pays d'Opale,62,62 - Pas-de-Calais,25,25,4636,4636,2426,2210,1.0,1.0,8.006386,12.310541,9.953698,7.232373,0.141501,0.787748,1,1,0,4636.0,4636.0,0.0
200043396,Communauté d'agglomération Maubeuge Val de Sambre,59,59 - Nord,117,117,23083,23083,11543,11540,1.0,1.0,1.865175,4.90159,2.768596,1.842198,0.960187,0.998094,9,5,8,2564.777778,4616.6,2885.375
200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,53,52,8897,8897,4384,4513,1.0,1.0,2.219266,5.431438,3.249816,2.214463,0.879398,0.995729,5,2,4,1779.4,4448.5,2224.25
200044618,Communauté d'agglomération Douaisis Agglo,59,59 - Nord,96,96,26590,26590,11300,15290,1.0,1.0,1.72449,4.381716,2.595603,1.69413,0.919631,1.0,10,6,9,2659.0,4431.666667,2954.444444
200043495,Communauté d'agglomération du Pays de Laon,02,02 - Aisne,29,28,8756,8756,3814,4942,1.0,1.0,3.131641,8.528183,4.853452,3.09312,0.909091,0.972933,5,2,4,1751.2,4378.0,2189.0
200035442,Communauté de communes du Sud-Artois,62,62 - Pas-de-Calais,55,55,4362,4362,2692,1670,1.0,1.0,5.417719,9.339402,6.93163,5.396937,0.511692,0.830582,1,1,1,4362.0,4362.0,4362.0
200043404,Communauté de communes du Sud Avesnois,59,59 - Nord,23,23,4151,4151,1900,2251,1.0,1.0,2.012267,4.664584,2.938592,2.012267,0.820284,0.989641,2,1,2,2075.5,4151.0,2075.5
200018083,Communauté de communes de Desvres-Samer,62,62 - Pas-de-Calais,38,38,4148,4148,2720,1428,1.0,1.0,4.347811,9.000311,6.005516,4.312065,0.503616,0.945998,2,1,2,2074.0,4148.0,2074.0
200043263,Communauté de communes Cœur de l'Avesnois,59,59 - Nord,30,30,4012,4012,1797,2215,1.0,1.0,4.32846,7.030067,5.275586,4.226486,0.631356,0.806082,2,1,2,2006.0,4012.0,2006.0
200072031,Communauté d'agglomération de la Région de Château-Thierry,02,02 - Aisne,44,44,7973,7973,4885,3088,1.0,1.0,5.533429,11.189597,7.670275,5.442221,0.692086,0.778502,4,2,3,1993.25,3986.5,2657.666667
200070977,Communauté de communes du Grand Roye,80,80 - Somme,16,14,3941,3941,1078,2863,1.0,1.0,10.190012,13.605412,11.76743,10.757704,0.27049,0.352449,1,1,1,3941.0,3941.0,3941.0
245900428,Communauté urbaine de Dunkerque,59,59 - Nord,124,124,31362,31362,12698,18664,1.0,1.0,1.692194,4.328403,2.499617,1.646966,0.962056,1.0,14,8,13,2240.142857,3920.25,2412.461538
240200600,Communauté de communes des Trois Rivières,02,02 - Aisne,24,24,3744,3744,1949,1795,1.0,1.0,2.453614,5.517634,3.677677,2.442428,0.873932,0.96688,2,1,2,1872.0,3744.0,1872.0
246000848,Communauté de communes de la Picardie Verte,60,60 - Oise,41,41,3721,3721,2017,1704,1.0,1.0,8.071891,11.616203,9.274874,8.070134,0.311207,0.789841,2,1,2,1860.5,3721.0,1860.5
200069029,Communauté d'agglomération des Deux Baies en Montreuillois,62,62 - Pas-de-Calais,55,55,10786,10786,4593,6193,1.0,1.0,5.81622,9.296725,6.956002,5.374746,0.611904,0.696088,4,3,4,2696.5,3595.333333,2696.5
240200493,Communauté de communes du Pays du Vermandois,02,02 - Aisne,26,26,3565,3565,2088,1477,1.0,1.0,5.342195,9.422401,6.67489,5.140478,0.629173,0.774474,2,1,2,1782.5,3565.0,1782.5
246000772,Communauté de communes des Deux Vallées,60,60 - Oise,22,22,3547,3547,1558,1989,1.0,1.0,2.976446,6.556462,4.167848,2.948786,0.737807,0.968988,1,1,1,3547.0,3547.0,3547.0
246200844,Communauté de communes de la Région d'Audruicq,62,62 - Pas-de-Calais,21,21,3402,3402,2328,1074,1.0,1.0,3.955126,6.704718,5.049082,3.880086,0.517637,1.0,1,1,1,3402.0,3402.0,3402.0
246201016,Communauté de communes du Pays de Lumbres,62,62 - Pas-de-Calais,29,29,3295,3295,1981,1314,1.0,1.0,2.25812,5.562634,3.039036,2.206715,0.861002,0.963278,2,1,2,1647.5,3295.0,1647.5
200068005,Communauté de communes de l'Oise Picarde,60,60 - Oise,30,30,3105,3105,1787,1318,1.0,1.0,6.255363,9.49667,7.405015,6.255363,0.371659,0.850886,2,1,1,1552.5,3105.0,3105.0
200069672,Communauté de communes du Ternois,62,62 - Pas-de-Calais,62,62,6133,6133,2741,3392,1.0,1.0,3.784731,6.759667,4.779468,3.766747,0.687266,0.856677,4,2,0,1533.25,3066.5,0.0
200044048,Communauté de communes Osartis Marquion,62,62 - Pas-de-Calais,49,49,5692,5692,3552,2140,1.0,1.0,3.480299,6.2575,4.733844,3.378212,0.795854,1.0,4,2,2,1423.0,2846.0,2846.0
248000747,Communauté de communes du Pays du Coquelicot,80,80 - Somme,21,21,2779,2779,592,2187,1.0,1.0,3.15178,4.895369,3.779903,3.15178,0.757107,0.846348,1,1,1,2779.0,2779.0,2779.0
