id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I595990002,Tourcoing les Bains,59599,Tourcoing,200093201,Métropole Européenne de Lille,59,Nord,5,3,5997.8,9996.333333,91,72,29989,29989,13550,16439,1.0,1.0,1.43693,3.711583,1.909766,1.334811,1.0,1.0,5,1,3,5997.8,29989.0,9996.333333
I601750010,Piscine municipale,60175,Creil,200068047,CA Creil Sud Oise,60,Oise,1,1,26036.0,26036.0,129,105,26036,26036,15447,10589,1.0,1.0,3.17873,7.003371,4.610366,2.971202,0.799931,0.96766,1,1,1,26036.0,26036.0,26036.0
I595440006,PISCINE MUNICIPALE,59544,Saint-Saulve,245901160,CA Valenciennes Métropole,59,Nord,2,0,12718.0,0.0,83,72,25436,25436,10872,14564,1.0,1.0,2.536244,5.491227,3.509022,1.811599,0.901203,0.983252,2,1,0,12718.0,25436.0,0.0
I600570060,Piscine Aldebert Bellier,60057,Beauvais,200067999,CA du Beauvaisis,60,Oise,2,2,10681.5,10681.5,104,91,21363,21363,9481,11882,1.0,1.0,3.701746,8.052865,5.15031,3.557918,0.800777,0.826476,2,1,2,10681.5,21363.0,10681.5
I590170009,Centre aquatique Calyssia,59017,Armentières,200093201,Métropole Européenne de Lille,59,Nord,3,3,6708.333333,6708.333333,74,69,20125,20125,8904,11221,1.0,1.0,4.764606,8.181399,6.245651,4.585153,0.635826,0.837913,3,1,3,6708.333333,20125.0,6708.333333
I595120028,Centre Nautique THALASSA,59512,Roubaix,200093201,Métropole Européenne de Lille,59,Nord,1,1,20002.0,20002.0,53,49,20002,20002,9046,10956,1.0,1.0,1.184743,4.694177,1.844909,1.166405,1.0,1.0,1,1,1,20002.0,20002.0,20002.0
I592990008,PISCINE DES TROIS VILLES,59299,Hem,200093201,Métropole Européenne de Lille,59,Nord,1,0,19335.0,0.0,71,60,19335,19335,11457,7878,1.0,1.0,2.313927,6.452575,3.270113,2.336558,0.969951,1.0,1,1,0,19335.0,19335.0,0.0
I624980051,Aqualens,62498,Lens,246200364,CA de Lens - Liévin,62,Pas-de-Calais,3,2,6266.333333,9399.5,67,61,18799,18799,8401,10398,1.0,1.0,2.986941,7.177271,4.260954,2.950928,0.719719,1.0,3,1,2,6266.333333,18799.0,9399.5
I800210162,Centre Aquatique Amiens Metropole,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,2,4434.5,8869.0,83,50,17738,17738,7767,9971,1.0,1.0,2.80651,6.212271,3.937897,2.204247,0.888262,0.946612,4,1,2,4434.5,17738.0,8869.0
I593030010,Piscine des WEPPES,59303,Herlies,200093201,Métropole Européenne de Lille,59,Nord,3,3,5553.333333,5553.333333,57,50,16660,16660,8776,7884,1.0,1.0,6.172312,11.785461,8.502773,6.086921,0.142617,0.765246,3,1,3,5553.333333,16660.0,5553.333333
I621190008,CENTRE AQUATIQUE CITE d'O,62119,Béthune,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,4,3,3931.5,5242.0,61,50,15726,15726,7284,8442,1.0,1.0,2.937861,7.254976,4.323908,2.500103,0.857497,0.919496,4,1,3,3931.5,15726.0,5242.0
I620410067,PISCINE GEORGES DAULLE,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,7729.5,7729.5,72,56,15459,15459,6069,9390,1.0,1.0,3.624245,7.668474,4.716067,3.184453,0.817064,0.910602,2,1,2,7729.5,15459.0,7729.5
I020710003,"Camping ""La Croix du vieux Pont",02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,3,1,5074.333333,15223.0,76,69,15223,15223,6634,8589,1.0,1.0,14.979056,21.356271,18.46396,14.750195,0.069237,0.099192,3,1,1,5074.333333,15223.0,15223.0
I625250002,SCENEO,62525,Longuenesse,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,2,2,7233.0,7233.0,72,60,14466,14466,7700,6766,1.0,1.0,3.309912,5.73304,4.303519,2.109237,0.77499,0.959491,2,1,2,7233.0,14466.0,7233.0
I800210059,Coliseum,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,4,3555.0,3555.0,52,40,14220,14220,5388,8832,1.0,1.0,1.690607,5.009948,2.426515,1.661118,0.984248,0.985935,4,1,4,3555.0,14220.0,3555.0
I591720022,Centre Aqualudique Natur&O,59172,Denain,200042190,CA de la Porte du Hainaut,59,Nord,4,4,3473.0,3473.0,58,57,13892,13892,6923,6969,1.0,1.0,2.935209,5.845926,4.018195,2.788224,0.751512,0.994889,4,1,4,3473.0,13892.0,3473.0
I594100005,PISCINE MUNICIPALE,59410,Mons-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,3,3,4617.333333,4617.333333,52,47,13852,13852,6271,7581,1.0,1.0,1.353383,4.495347,2.098464,1.316171,1.0,1.0,3,1,3,4617.333333,13852.0,4617.333333
I593780017,Piscine Municipale,59378,Marcq-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,2,2,6867.5,6867.5,37,30,13735,13735,7812,5923,1.0,1.0,1.903951,5.179885,2.656217,1.523899,1.0,1.0,2,1,2,6867.5,13735.0,6867.5
I601590032,PISCINE HIVER AVENUE D'HUY,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,2,2,6811.0,6811.0,55,41,13622,13622,5523,8099,1.0,1.0,1.928763,4.532354,2.516879,1.949159,0.940611,0.971296,2,1,2,6811.0,13622.0,6811.0
I800010025,Piscine : AQU'ABB,80001,Abbeville,200070993,CA de la Baie de Somme,80,Somme,4,2,3306.25,6612.5,86,54,13225,13225,6348,6877,1.0,1.0,9.120082,13.391263,11.562307,9.967615,0.47017,0.537316,4,1,2,3306.25,13225.0,6612.5
I625100041,Espace aquatique et de remise en forme NAUTICAA,62510,Liévin,246200364,CA de Lens - Liévin,62,Pas-de-Calais,5,4,2616.0,3270.0,58,48,13080,13080,6560,6520,1.0,1.0,2.489132,5.246181,3.250356,2.430671,0.951453,1.0,5,1,4,2616.0,13080.0,3270.0
I028100025,Piscine Intercommunale de Villers-Cotterêts,02810,Villers-Cotterêts,200071991,CC Retz-en-Valois,02,Aisne,2,2,6481.5,6481.5,83,65,12963,12963,7409,5554,1.0,1.0,13.405272,15.413953,16.490977,11.625456,0.224562,0.346293,2,1,2,6481.5,12963.0,6481.5
I621930005,PISCINE EMILE RANSON,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,2,2,6396.0,6396.0,49,44,12792,12792,5239,7553,1.0,1.0,1.812593,5.433399,2.908016,1.769633,0.927064,0.98546,2,1,2,6396.0,12792.0,6396.0
