id_installation,installation,commune,departement,epci_nom,current_status,priority_label,priority_score,suggested_status,suggested_status_label,confidence,ready_for_override,evidence_domain_type,evidence_url,evidence_title,evidence_snippet,evidence_origin,query_used,review_comment
I621930039,Complexe Icéo,Calais,Pas-de-Calais,CA Grand Calais Terres et Mers,Ouvert probable,,6,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I600570045,Aquaspace,Beauvais,Oise,CA du Beauvaisis,Ouvert probable,,5,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I026910035,Base Urbaine de Loisirs de Saint Quentin,Saint-Quentin,Aisne,CA du Saint-Quentinois,Ouvert probable,,5,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591220022,Stade Nautique Liberté,Cambrai,Nord,CA de Cambrai,Ouvert probable,,5,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595990002,Tourcoing les Bains,Tourcoing,Nord,Métropole Européenne de Lille,Ouvert probable,,5,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I602230013,CENTRE AQUATIQUE DE LA PLAINE D'ESTREES,Estrées-Saint-Denis,Oise,CC de la Plaine d'Estrées,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591720022,Centre Aqualudique Natur&O,Denain,Nord,CA de la Porte du Hainaut,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I800210162,Centre Aquatique Amiens Metropole,Amiens,Somme,CA Amiens Métropole,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595860007,Centre aquatique le Chant de l'Eau,Templeuve-en-Pévèle,Nord,CC Pévèle-Carembault,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I800210059,Coliseum,Amiens,Somme,CA Amiens Métropole,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591360007,Duo Le Cateau,Le Cateau-Cambrésis,Nord,CA du Caudrésis et du Catésis,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591390015,Espace Nautique Intercommunal (ENI),Caudry,Nord,CA du Caudrésis et du Catésis,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I602820009,PISCINE AQUALIS,Gouvieux,Oise,CC de l'Aire Cantilienne,Ouvert probable,,4,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I625490001,Aquatic & Bowling Center de l'Hesdinois,Marconne,Pas-de-Calais,CC des 7 Vallées,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I020710003,"Camping ""La Croix du vieux Pont",Berny-Rivière,Aisne,CC Retz-en-Valois,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I805700001,Centre aquatique Alméo,Moreuil,Somme,CC Avre Luce Noye,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I628650007,Centre aquatique Aquatis,Vitry-en-Artois,Pas-de-Calais,CC Osartis Marquion,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I590170009,Centre aquatique Calyssia,Armentières,Nord,Métropole Européenne de Lille,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I021680004,Complexe Citélium,Château-Thierry,Aisne,CA de la Région de Château-Thierry,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I021730004,Espace Aquatique Oasis,Chauny,Aisne,CA Chauny-Tergnier-La Fère,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591780040,PISCINE DES GLACIS,Douai,Nord,CA Douaisis Agglo,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I594100005,PISCINE MUNICIPALE,Mons-en-Barœul,Nord,Métropole Européenne de Lille,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I621600029,PISCINE MUNICIPALE,Boulogne-sur-Mer,Pas-de-Calais,CA du Boulonnais,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I591830087,Piscine Georges Guynemer,Dunkerque,Nord,CU de Dunkerque,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I593030010,Piscine des WEPPES,Herlies,Nord,Métropole Européenne de Lille,Ouvert probable,,3,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620140019,AQUALYS,Aire-sur-la-Lys,Pas-de-Calais,CA du Pays de Saint-Omer,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I601040007,CENTRE NAUTIQUE PHILIPPE LOISEL - KALAMOS,Breteuil,Oise,CC de l'Oise Picarde,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I620480002,COMPLEXE BASLY,Auchel,Pas-de-Calais,"CA de Béthune-Bruay, Artois-Lys Romane",Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I621330012,Centre Aquatique Louis Aragon,Billy-Montigny,Pas-de-Calais,CA de Lens - Liévin,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I622680012,Centre Aquatique Naturéo,Desvres,Pas-de-Calais,CC de Desvres-Samer,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595260001,Centre Aquatique intercommunal de Saint-Amand-les-Eaux,Saint-Amand-les-Eaux,Nord,CA de la Porte du Hainaut,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I596630011,Centre aquatique Linéo,Wormhout,Nord,CC des Hauts de Flandre,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I595270004,"Complexe Piscine, volley",Saint-André-lez-Lille,Nord,Métropole Européenne de Lille,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
I023810011,"Espace aquatique ""L'Ile Verte""",Hirson,Aisne,CC des Trois Rivières,Ouvert probable,,2,,,,0,,,,,,,Aucune evidence suffisamment fiable detectee.
