code_commune,commune,code_departement,departement,epci_code,epci_nom,population_2023,licences_ffn_2023,bassins_total,typo,latitude,longitude,nearest_installation_id,nearest_installation,nearest_installation_commune,nearest_installation_epci,crow_distance_to_nearest_installation_km,drive_distance_to_nearest_installation_km,drive_time_to_nearest_installation_min
02001,Abbécourt,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,513,9,0,2.Urbain intermédiaire,49.5997,3.1824,I021730004,Espace Aquatique Oasis,Chauny,CA Chauny-Tergnier-La Fère,3.068,3.885,9.44
02002,Achery,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,586,1,0,4.Rural non périurbain,49.6935,3.3974,I020590004,Piscine Lucien Lahaye,Beautor,CA Chauny-Tergnier-La Fère,6.732,9.452,16.85
02014,Amigny-Rouy,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,710,9,0,4.Rural non périurbain,49.6111,3.3059,I021730004,Espace Aquatique Oasis,Chauny,CA Chauny-Tergnier-La Fère,6.792,10.167,12.78
02016,Andelain,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,211,4,0,4.Rural non périurbain,49.6428,3.3686,I020590004,Piscine Lucien Lahaye,Beautor,CA Chauny-Tergnier-La Fère,1.8,5.12,8.56
02017,Anguilcourt-le-Sart,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,281,2,0,4.Rural non périurbain,49.6971,3.424,I020590004,Piscine Lucien Lahaye,Beautor,CA Chauny-Tergnier-La Fère,8.268,13.486,17.4
02041,Autreville,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,791,13,0,4.Rural non périurbain,49.5878,3.2378,I021730004,Espace Aquatique Oasis,Chauny,CA Chauny-Tergnier-La Fère,3.943,4.518,7.18
02056,Beaumont-en-Beine,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,172,2,0,4.Rural non périurbain,49.6876,3.1317,I021730004,Espace Aquatique Oasis,Chauny,CA Chauny-Tergnier-La Fère,9.571,11.803,13.64
02059,Beautor,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,2625,6,2,2.Urbain intermédiaire,49.6472,3.3361,I020590004,Piscine Lucien Lahaye,Beautor,CA Chauny-Tergnier-La Fère,0.654,1.421,5.0
02074,Bertaucourt-Epourdon,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,586,7,0,3.Rural périurbain,49.6283,3.3988,I020590004,Piscine Lucien Lahaye,Beautor,CA Chauny-Tergnier-La Fère,4.335,6.637,10.07
02086,Bichancourt,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,989,2,0,4.Rural non périurbain,49.5787,3.2135,I021730004,Espace Aquatique Oasis,Chauny,CA Chauny-Tergnier-La Fère,4.507,6.647,10.39
