epci_code,epci_nom,code_departement,departement,communes_total,communes_routed_total,population_total,population_routed_total,installations_total,reachable_installations_total,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,population_within_10min_share,population_within_15min_share,population_within_20min_share,communes_within_10min_share,communes_within_15min_share,communes_within_20min_share
246000913,Communauté de communes du Pays de Bray,60,60 - Oise,23,23,18144,18144,143,1,33.009744,22.617097,0.0,0.0,0.011133,0.0,0.0,0.043478
240200501,Communauté de communes du Val de l'Aisne,02,02 - Aisne,57,56,20284,20163,143,4,31.855752,30.276403,0.0,0.0,0.060755,0.0,0.0,0.053571
246000707,Communauté de communes du Vexin-Thelle,60,60 - Oise,37,37,20561,20561,143,2,29.74298,23.997168,0.0,0.0,0.066971,0.0,0.0,0.081081
240200592,Communauté de communes du Chemin des Dames,02,02 - Aisne,30,30,5501,5501,143,2,27.357024,20.287672,0.0,0.043447,0.257044,0.0,0.066667,0.233333
240200519,Communauté de communes du Canton d'Oulchy-le-Château,02,02 - Aisne,26,26,5536,5536,143,3,27.1864,24.887788,0.0,0.0,0.083634,0.0,0.0,0.076923
240200634,Communauté de communes des Portes de la Thiérache,02,02 - Aisne,30,30,6651,6651,143,2,26.699866,22.397789,0.0,0.0,0.108555,0.0,0.0,0.033333
200071181,Communauté de communes Somme Sud-Ouest,80,80 - Somme,119,119,38045,38045,143,7,24.57991,21.100494,0.0,0.048705,0.263109,0.0,0.067227,0.218487
240200584,Communauté de communes du Canton de Charly-sur-Marne,02,02 - Aisne,21,21,15339,15339,143,2,24.494596,18.055555,0.0,0.0,0.136319,0.0,0.0,0.190476
200071223,Communauté de communes Nièvre et Somme,80,80 - Somme,36,36,27719,27719,143,4,22.918379,21.133763,0.0,0.093474,0.282514,0.0,0.083333,0.194444
240200444,Communauté de communes de la Thiérache du Centre,02,02 - Aisne,68,68,25752,25752,143,7,22.530833,17.612843,0.0,0.044851,0.363972,0.0,0.044118,0.279412
