code_fede_ref,sexe,trage_full,trage,code_departement,departement,newreg,newreg_l,licences_ffn_2024,population_reference,licences_pour_1000hab,rank_fede_dep,lics_pop_fr,indice_specificite,fede_gp
119,F,NR - Non réparti,NR - Non réparti,2,02 - Aisne,32,32 - Hauts-de-France,0,0,,,,,1. Olympique
119,F,a - de 1 à 4 ans,0 à 4 ans,2,02 - Aisne,32,32 - Hauts-de-France,46,12885,3.57004268529298,46.0,4.57425289677931,0.78046464982437,1. Olympique
119,F,b - de 5 à 9 ans,5 à 9 ans,2,02 - Aisne,32,32 - Hauts-de-France,361,15173,23.7922625716734,72.0,34.6238018581063,0.687164935531278,1. Olympique
119,F,c - de 10 à 14 ans,10 à 14 ans,2,02 - Aisne,32,32 - Hauts-de-France,322,17315,18.5965925498123,75.0,23.1427320915274,0.80356081020445,1. Olympique
119,F,d - de 15 à 19 ans,15 à 19 ans,2,02 - Aisne,32,32 - Hauts-de-France,91,15410,5.90525632706035,69.0,7.08748734116934,0.83319462071675,1. Olympique
119,F,e - de 20 à 24 ans,20 à 24 ans,2,02 - Aisne,32,32 - Hauts-de-France,17,12717,1.33679326885272,88.0,2.33246599541356,0.573124440605488,1. Olympique
119,F,f - de 25 à 29 ans,25 à 29 ans,2,02 - Aisne,32,32 - Hauts-de-France,13,12596,1.03207367418228,90.0,2.52082391549297,0.409419185465181,1. Olympique
119,F,g - de 30 à 34 ans,30 à 34 ans,2,02 - Aisne,32,32 - Hauts-de-France,23,14222,1.61721276894951,67.0,2.52900377398505,0.639466332784949,1. Olympique
119,F,h - de 35 à 39 ans,35 à 39 ans,2,02 - Aisne,32,32 - Hauts-de-France,29,16160,1.79455445544554,77.0,3.25883505634585,0.550673607107255,1. Olympique
119,F,i - de 40 à 44 ans,40 à 44 ans,2,02 - Aisne,32,32 - Hauts-de-France,41,16143,2.53980053273865,76.0,4.22773052142458,0.600747971013733,1. Olympique
119,F,j - de 45 à 49 ans,45 à 49 ans,2,02 - Aisne,32,32 - Hauts-de-France,41,15463,2.6514906551122,75.0,4.63519484800757,0.572034346355891,1. Olympique
119,F,k - de 50 à 54 ans,50 à 54 ans,2,02 - Aisne,32,32 - Hauts-de-France,56,17293,3.23830451627826,53.0,4.13429727814561,0.783278099859033,1. Olympique
119,F,l - de 55 à 59 ans,55 à 59 ans,2,02 - Aisne,32,32 - Hauts-de-France,30,17499,1.71438367906738,75.0,3.59214752576764,0.477258705765714,1. Olympique
119,F,m - de 60 à 64 ans,60 à 64 ans,2,02 - Aisne,32,32 - Hauts-de-France,45,17851,2.52086717830934,55.0,3.50748341809638,0.718711075098251,1. Olympique
119,F,n - de 65 à 69 ans,65 à 69 ans,2,02 - Aisne,32,32 - Hauts-de-France,29,16974,1.70849534582302,59.0,3.15134776176522,0.542147511154407,1. Olympique
119,F,o - de 70 à 74 ans,70 à 74 ans,2,02 - Aisne,32,32 - Hauts-de-France,26,16614,1.56494522691706,57.0,2.47981865669739,0.631072446644646,1. Olympique
