id_equipement,id_installation,installation,equipement,code_commune,commune,dep_code,departement,epci_code,epci_nom,type_equipement,categorie,proprietaire,type_proprietaire,type_gestionnaire,gestion_dsp_source,mode_gestion_calcule,surface_bassin_m2,longueur_m,largeur_m,profondeur_min_m,profondeur_max_m,nb_couloirs,type_utilisation,usage_scolaires,site_scolaire_explicit,particularite_installation,uai,qpv,qpv_flag,qpv_200m,qpv_200m_flag,longitude,latitude,activites
E002I020590004,I020590004,Piscine Lucien Lahaye,Bassin de natation ludique,2059,Beautor,2,Aisne,200071785,CA Chauny-Tergnier-La Fère,Bassin ludique de natation,,Commune de Beautor,Commune,Commune,False,Régie publique,188.0,15.0,12.0,0.6,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.34366,49.64394,"Activités de forme et de santé, Baignade loisirs"
E001I020590004,I020590004,Piscine Lucien Lahaye,Bassin natation sportive,2059,Beautor,2,Aisne,200071785,CA Chauny-Tergnier-La Fère,Bassin sportif de natation,structurant,Mairie de Beautor,Commune,Commune,True,DSP,375.0,25.0,15.0,1.8,3.4,,"[""Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.34366,49.64394,"Baignade loisirs, Natation course sportive"
E001I021730004,I021730004,Espace Aquatique Oasis,Bassin ludique,2173,Chauny,2,Aisne,200071785,CA Chauny-Tergnier-La Fère,Bassin ludique de natation,,,Commune,Commune,False,Régie publique,180.0,20.0,9.0,0.8,1.1,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.21247,49.61923,"Aquagym, Baignade loisirs"
E002I021730004,I021730004,Espace Aquatique Oasis,Bassin sportif,2173,Chauny,2,Aisne,200071785,CA Chauny-Tergnier-La Fère,Bassin sportif de natation,structurant,,Commune,,False,Autre gestion hors DSP,375.0,25.0,15.0,0.7,1.8,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités""]",1,0,Piscine,,,0,,0,3.21247,49.61923,"Baignade loisirs, Natation course sportive, Natation synchronisée, Water-Polo"
E002I021680004,I021680004,Complexe Citélium,Bassin ludique,2168,Château-Thierry,2,Aisne,200072031,CA de la Région de Château-Thierry,Bassin ludique de natation,,CARCT,Etablissement privé commercial,Etablissement privé commercial,True,DSP,107.5,15.0,6.5,0.8,1.4,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.39133,49.0667,"Aquagym, Baignade loisirs"
E003I021680004,I021680004,Complexe Citélium,Grand bassin,2168,Château-Thierry,2,Aisne,200072031,CA de la Région de Château-Thierry,Bassin sportif de natation,structurant,CARCT,Etablissement privé commercial,Etablissement privé commercial,True,DSP,525.0,25.0,21.0,1.8,4.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.39109,49.0674,"Aquagym, Baignade loisirs, Natation course sportive, Water-Polo"
E001I021680004,I021680004,Complexe Citélium,Toboggan,2168,Château-Thierry,2,Aisne,200072031,CA de la Région de Château-Thierry,Bassin de réception de toboggan,,CARCT,Etablissement privé commercial,Etablissement privé commercial,True,DSP,18.0,6.0,3.0,0.3,1.0,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,Piscine,,,0,,0,3.39057,49.06838,Baignade loisirs
E002I020370001,I020370001,Complexe sportif,Petit bassin,2037,Aulnois-sous-Laon,2,Aisne,200043495,CA du Pays de Laon,Bassin ludique de natation,,Commune de Aulnoye sous Laon,Commune,Commune,,Régie publique,114.0,19.0,6.0,0.3,1.2,,"[""Individuel(s),famille(s),Scolaires,universités""]",1,0,"Complexe sportif, Piscine",,,0,,0,3.61387,49.60672,Baignade loisirs
E005I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Bassin de natation Ludique,2408,Laon,2,Aisne,200043495,CA du Pays de Laon,Bassin ludique de natation,,,EPCI,Etablissement privé commercial,True,DSP,100.0,25.0,10.0,0.8,1.2,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Piscine, Patinoire",,,0,,0,3.65216,49.56711,"Activités de forme et de santé, Baignade loisirs"
E004I024080034,I024080034,Le dôme - Centre aquatique & patinoire,Bassin de natation sportif,2408,Laon,2,Aisne,200043495,CA du Pays de Laon,Bassin sportif de natation,structurant,,EPCI,Etablissement privé commercial,True,DSP,375.0,25.0,15.0,2.1,2.3,,"[""Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers""]",1,0,"Piscine, Patinoire",,,0,,0,3.65216,49.56711,"Activités de forme et de santé, Baignade loisirs, Nage avec palmes, Natation course sportive, Natation synchronisée, Water-Polo"
