id_equipement,id_installation,installation,equipement,code_commune,commune,epci_code,epci_nom,dep_code,departement,typologie_commune_source,particularite_installation,particularite_installation_brute,famille_equipement,type_equipement,code_type_equipement,rnb_id,uai,survey_date,state_change_date,observation_installation,observation_equipement,handicap_access_types,transport_access_modes,opening_authorized_flag,erp_type,erp_category,year_service,service_period,last_major_works_date,last_major_works_period,last_major_works_year,last_major_works_motives,energy_sources,pmr_access_detail,sensory_access_detail,type_utilisation,free_access_flag,seasonal_only_flag,longueur_m,largeur_m,surface_bassin_m2,profondeur_min_m,profondeur_max_m,nb_couloirs,installation_out_of_service_flag,longitude,latitude,activites,operational_status_code,operational_status_label,operational_status_reason,status_source,status_source_url,status_reviewed_at,status_confidence,status_verified_by,status_is_manual,status_override_comment
E004I590090058,I590090058,CENTRE NAUTIQUE BABYLONE,DOJO Jeff Martin,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Salle de combat,Dojo / Salle d'arts martiaux,1801,G6D2HNB8SBFD,,2025-03-31,2024-04-24,,,Handicap moteur,,1,X,5,2013.0,A partir de 2005,,,,,Gaz | Autre,"Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires",Sanitaires,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,3.14376,50.65204,Judo / Jujitsu / Taïso,open_probable,Ouvert probable,La page officielle affiche les horaires du centre nautique Babylone pendant l'hiver 2026 puis en période scolaire.,Ville de Villeneuve d'Ascq,https://piscines.villeneuvedascq.fr/horaires-des-piscines,2026-03-11,Forte,,1,La page officielle affiche les horaires du centre nautique Babylone pendant l'hiver 2026 puis en période scolaire.
E004I591220022,I591220022,Stade Nautique Liberté,petit bassin,59122,Cambrai,200068500,CA de Cambrai,59,Nord,Centres urbains intermédiaires,Piscine,Piscine,Bassin de natation,Bassin sportif de natation,102,64XH6A4NK3FE,,2025-03-31,2024-04-24,,Mêmes aménagements complémentaires,Handicap moteur,Bus,1,X,2,2008.0,A partir de 2005,,,,,Gaz,"Cheminements,Douches",,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",0,0,25.0,6.0,150.0,1.0,1.3,,0,3.2267,50.1723,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I591360007,I591360007,Duo Le Cateau,Pentagliss,59136,Le Cateau-Cambrésis,200030633,CA du Caudrésis et du Catésis,59,Nord,Petites villes,Piscine,Piscine,Bassin de natation,Bassin de réception de toboggan,106,,,2025-03-31,2024-09-26,,,,,0,,,,,,,,,,,,,0,0,,,0.0,,,,0,3.531986,50.095265,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I591830058,I591830058,PISCINE PAUL ASSEMAN,Dojo,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,Grands centres urbains,Piscine,Piscine,Salle de combat,Dojo / Salle d'arts martiaux,1801,1QRWDV52174Z,,2025-03-31,2024-09-19,Présence d'un bassin Scientifique de 5m*3m avec turbine et moyen d'analyse par caméra qui permet d'analyser la technique et la biomécanique du nageur dans les 4 nages,RAS,,,0,,,,1985-1994,2015,A partir de 2005,2015.0,Vétusté normale | remise à niveau,Gaz,"Accueil,Cheminements",,"Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers",0,0,,,,,,,0,2.38574,51.04771,Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...,open_probable,Ouvert probable,"Une visite guidée officielle programmée le 20 novembre 2025 ouvre la piscine Paul Asseman au public et à ses coulisses, ce qui confirme l'exploitation du site.",Dunkerque Tourisme,https://www.dunkerque-tourisme.fr/offres/fabuleuses-visites-piscine-paul-asseman-dunkerque-fr-6049194/,2026-03-16,Moyenne,,1,"Une visite guidée officielle programmée le 20 novembre 2025 ouvre la piscine Paul Asseman au public et à ses coulisses, ce qui confirme l'exploitation du site."
E004I592730013,I592730013,complexe Maurice Baude et Piscine Municipale,Piste d'athlétisme,59273,Gravelines,245900428,CU de Dunkerque,59,Nord,Petites villes,Piscine,Piscine,Equipement d'athlétisme,Piste d'athlétisme isolée,1004,,,2025-03-31,2024-01-30,,RAS,Handicap moteur,,0,,,,1975-1984,,,,,,"Accueil,Aire de jeu,Cheminements,Douches,Vestiaires",,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,2.13884,50.98631,Course sur piste,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I595270004,I595270004,"Complexe Piscine, volley",PETIT BASSIN,59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Bassin de natation,Bassin mixte de natation,101,,,2025-03-31,2020-01-08,,,,,1,X,4,,1965-1974,,,,,Gaz,,,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",0,0,12.5,12.5,156.3,0.3,1.3,,0,3.05097,50.65892,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I602230013,I602230013,CENTRE AQUATIQUE DE LA PLAINE D'ESTREES,Lagune de jeux,60223,Estrées-Saint-Denis,246000897,CC de la Plaine d'Estrées,60,Oise,Bourgs ruraux,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,3Q5B4JEKKNHT,,2025-03-31,2024-09-26,,,Handicap moteur,,1,X,3,2006.0,A partir de 2005,,,,,Gaz,"Aire de jeu,Vestiaires",,"Individuel(s),famille(s),Scolaires,universités,Autre - association(s) et groupes divers",0,0,9.0,3.0,9.0,1.0,1.0,,0,2.64326,49.42945,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I602820009,I602820009,PISCINE AQUALIS,Bassin ludique extérieur,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,Ceintures urbaines,Piscine,Piscine,Bassin de natation,Bassin ludique de natation,103,,,2025-03-31,2011-06-16,,,Handicap moteur,Bus,1,X,3,2004.0,1995-2004,,,,,Gaz,Aire de jeu,,"Individuel(s),famille(s)",0,0,,,150.0,0.0,1.2,,0,2.43446,49.18919,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E004I606890002,I606890002,CENTRE DES SPORTS RIMBERLIEU,Bassin de 33m,60689,Villers-sur-Coudun,246000855,CC du Pays des Sources,60,Oise,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Bassin de natation,Bassin sportif de natation,102,,,2025-03-31,2020-12-12,"Visite de l'enqueteur en 2010, pas d'éléments fournis car la continuité de l'activité du site est remise en question. Fiche à vérifier ulterieurement en cas de reprise ou cessation  d'activité.",,Handicap moteur,,0,,,,,,,,,,,,,0,0,33.0,12.0,396.0,,,,0,2.81426,49.488772,Baignade loisirs,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E003I590090057,I590090057,PISCINE DU TRIOLO,SALLE DE MUSCULATION,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,ENSYV8BKBK35,,2025-03-31,2024-04-24,,,Handicap moteur,,1,X,3,,1995-2004,,,,,Gaz,"Accueil,Douches,Sanitaires,Vestiaires",Sanitaires,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations",0,0,,,,,,,0,3.147454,50.61376,Musculation,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
