code_commune,commune,code_departement,departement,epci_code,epci_nom,population_2023,licences_ffn_2023,bassins_total,typo,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
02001,Abbécourt,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,513,9,0,2.Urbain intermédiaire,49.5997,3.1824,02:02488,CHAUNY - PONT CANAL,,2.96,0,0,0,0
02002,Achery,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,586,1,0,4.Rural non périurbain,49.6935,3.3974,02:00629,ACHERY - ABRI,bus,0.538,0,1,0,16
02014,Amigny-Rouy,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,710,9,0,4.Rural non périurbain,49.6111,3.3059,02:00569,AMIGNY ROUY - ABRI CALVAIRE,bus,0.136,2,3,49,74
02016,Andelain,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,211,4,0,4.Rural non périurbain,49.6428,3.3686,StopArea:OCE87296632,La Fère,,1.694,0,0,0,0
02017,Anguilcourt-le-Sart,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,281,2,0,4.Rural non périurbain,49.6971,3.424,02:02312,ANGUILCOURT L. - MAIRIE ECOLE ABR,,1.08,0,0,0,0
02041,Autreville,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,791,13,0,4.Rural non périurbain,49.5878,3.2378,02:02485,AUTREVILLE - ABRI,bus,0.359,1,3,19,65
02056,Beaumont-en-Beine,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,172,2,0,4.Rural non périurbain,49.6876,3.1317,80:08937,VILLESELVE  - Route De Brouchy Rd,,1.436,0,0,0,0
02059,Beautor,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,2625,6,2,2.Urbain intermédiaire,49.6472,3.3361,02:04013,BEAUTOR - CIMETIERE,,1.947,0,0,0,0
02074,Bertaucourt-Epourdon,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,586,7,0,3.Rural périurbain,49.6283,3.3988,02:00548,ST GOBAIN - HOSPITAL,,3.491,0,0,0,0
02086,Bichancourt,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,989,2,0,4.Rural non périurbain,49.5787,3.2135,02:02485,AUTREVILLE - ABRI,,2.016,0,0,0,0
02122,Brie,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,54,0,0,3.Rural périurbain,49.5992,3.4722,02:00058,BRIE - CENTRE,bus,0.762,0,1,0,8
02081,Béthancourt-en-Vaux,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,425,7,0,4.Rural non périurbain,49.6274,3.1376,STOPAREA:60:0981,BEAUGIES-SOUS-BOIS - Chemin de Berlancourt,,2.795,0,0,0,0
02139,Caillouël-Crépigny,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,459,8,0,4.Rural non périurbain,49.6174,3.1226,STOPAREA:60:1591,MONDESCOURT - Ecole,,2.285,0,0,0,0
02145,Caumont,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,546,0,0,4.Rural non périurbain,49.6374,3.173,02:02491,VILLEQUIER A. - CIMETIERE,,2.79,0,0,0,0
02165,Charmes,02,02 - Aisne,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,1596,7,0,2.Urbain intermédiaire,49.6524,3.3834,02:00314,LA FERE - CARREFOUR DE LAON,bus,0.861,0,1,0,16
