id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I595990002,Tourcoing les Bains,59599,Tourcoing,200093201,Métropole Européenne de Lille,59,Nord,5,3,6042.4,10070.666667,105,105,30212,30212,14237,15975,1.0,1.0,1.415836,3.643926,1.880076,1.315209,1.0,1.0,5,1,3,6042.4,30212.0,10070.666667
I601750010,Piscine municipale,60175,Creil,200068047,CA Creil Sud Oise,60,Oise,1,1,28690.0,28690.0,135,135,28690,28690,15447,13243,1.0,1.0,3.461991,7.227559,4.957031,3.367931,0.75671,0.970652,1,1,1,28690.0,28690.0,28690.0
I595440006,PISCINE MUNICIPALE,59544,Saint-Saulve,245901160,CA Valenciennes Métropole,59,Nord,2,0,11954.5,0.0,87,87,23909,23909,9681,14228,1.0,1.0,2.600123,5.516723,3.576606,1.903599,0.899201,0.983186,2,1,0,11954.5,23909.0,0.0
I590170009,Centre aquatique Calyssia,59017,Armentières,200093201,Métropole Européenne de Lille,59,Nord,3,3,7098.666667,7098.666667,87,87,21296,21296,10066,11230,1.0,1.0,4.802869,8.373628,6.289793,4.736912,0.639838,0.811937,3,1,3,7098.666667,21296.0,7098.666667
I600570060,Piscine Aldebert Bellier,60057,Beauvais,200067999,CA du Beauvaisis,60,Oise,2,2,10641.0,10641.0,104,104,21282,21282,9481,11801,1.0,1.0,3.707211,8.054274,5.151268,3.620585,0.800019,0.825815,2,1,2,10641.0,21282.0,10641.0
I595120028,Centre Nautique THALASSA,59512,Roubaix,200093201,Métropole Européenne de Lille,59,Nord,1,1,19881.0,19881.0,61,61,19881,19881,9081,10800,1.0,1.0,1.186422,4.641956,1.824456,1.143376,1.0,1.0,1,1,1,19881.0,19881.0,19881.0
I592990008,PISCINE DES TROIS VILLES,59299,Hem,200093201,Métropole Européenne de Lille,59,Nord,1,0,19775.0,0.0,76,76,19775,19775,11940,7835,1.0,1.0,2.244264,6.2625,3.188676,2.230983,0.970619,1.0,1,1,0,19775.0,19775.0,0.0
I624980051,Aqualens,62498,Lens,246200364,CA de Lens - Liévin,62,Pas-de-Calais,3,2,6048.0,9072.0,67,67,18144,18144,7718,10426,1.0,1.0,3.019795,7.211554,4.316368,3.001802,0.70668,1.0,3,1,2,6048.0,18144.0,9072.0
I800210162,Centre Aquatique Amiens Metropole,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,2,4407.25,8814.5,83,83,17629,17629,7767,9862,1.0,1.0,2.824155,6.225966,3.953639,2.760985,0.887572,0.946282,4,1,2,4407.25,17629.0,8814.5
I593030010,Piscine des WEPPES,59303,Herlies,200093201,Métropole Européenne de Lille,59,Nord,3,3,5346.333333,5346.333333,62,62,16039,16039,8327,7712,1.0,1.0,6.096415,11.562836,8.462858,6.069341,0.138974,0.799738,3,1,3,5346.333333,16039.0,5346.333333
I020710003,"Camping ""La Croix du vieux Pont",02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,3,1,5344.0,16032.0,83,83,16032,16032,7361,8671,1.0,1.0,14.258123,20.564513,17.53557,13.967062,0.065744,0.12868,3,1,1,5344.0,16032.0,16032.0
